village,vlcode,state,district,block,population,total_population_village,total_households,total_geographical_area,latitude,longitude,aashray_risk_score,priority,risk_category,risk_model,risk_model_note,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution,forest_area,net_area_sown,total_unirrigated_land,area_irrigated_by_source,nearest_town_distance_from_village
Khamaganbindha,396940,Odisha,Kendrapara,Marsaghai,501.0,501.0,126.0,25.0,20.378287132663456,86.4530670716802,51.21736777282315,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6500089557848308,0.3,0.6129279273636252,0.4446950457593799,0.5121736777282315,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,15.0,15.0,0.0,19.0
Potari,396892,Odisha,Kendrapara,Marsaghai,540.0,540.0,112.0,33.0,20.3342675121885,86.45358226269452,68.94828085619858,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6859640399182623,1.0,0.6048792410618526,0.4123689316052198,0.6894828085619858,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,2.0,0.0,0.0,0.0,30.0
Raipur,396958,Odisha,Kendrapara,Mahakalapada,319.0,319.0,71.0,94.0,20.349907063793825,86.52214786493607,62.45878822482671,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6456726243111466,0.8,0.5936492345355167,0.4123689316052198,0.6245878822482671,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,22.0,0.0,0.0,0.0,20.0
Samjori,396954,Odisha,Kendrapara,Mahakalapada,1167.0,1167.0,277.0,37.0,20.351445716503985,86.50604955808379,60.9863608547602,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6002949846269071,0.8,0.5892053073539438,0.4123689316052198,0.609863608547602,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,3.0,0.0,0.0,0.0,22.0
Pailo,396872,Odisha,Kendrapara,Marsaghai,1759.0,1759.0,413.0,237.0,20.355826261410808,86.41852333507114,69.28099980767092,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6787402884906402,1.0,0.6268565008338928,0.4123689316052198,0.6928099980767092,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,9.0,0.0,0.0,0.0,30.0
Barunei,396075,Odisha,Kendrapara,Rajnagar,0.0,0.0,0.0,60.0,20.516943597324275,86.76840712632652,45.4425058216178,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6293740968739818,0.1,0.5321510808185288,0.5378752947467564,0.454425058216178,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,0.0,0.0,0.0,49.0
Madhuraganda Khamar,396953,Odisha,Kendrapara,Mahakalapada,1086.0,1086.0,240.0,194.0,20.360838802749768,86.5029895588642,58.61523014427951,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.5235164543991259,0.8,0.5864943152080537,0.4123689316052198,0.5861523014427951,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,35.0,108.0,108.0,0.0,21.0
Khurusia,396962,Odisha,Kendrapara,Mahakalapada,1068.0,1068.0,278.0,118.0,20.343881059750647,86.52768128836072,63.36354971927781,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6740096674172553,0.8,0.5958352425862306,0.4123689316052198,0.6336354971927781,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,15.0,0.0,0.0,0.0,16.0
Nachhipada,396888,Odisha,Kendrapara,Marsaghai,660.0,660.0,154.0,89.0,20.352245758068026,86.44781590338944,44.35565458369865,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6940839819993072,0.0,0.6114302596646016,0.4123689316052198,0.4435565458369865,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,5.0,0.0,0.0,0.0,29.0
Manikipur,396880,Odisha,Kendrapara,Marsaghai,1194.0,1194.0,268.0,112.0,20.376433605968145,86.44850700984553,52.29605954717821,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6834658600043848,0.3,0.6159273132743628,0.4446950457593799,0.5229605954717821,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,5.0,84.0,84.0,0.0,30.0
Gopalapur,396948,Odisha,Kendrapara,Mahakalapada,120.0,120.0,28.0,113.0,20.369534047346864,86.48183678375553,37.5147066647947,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.4781791153534124,0.0,0.5968781828835172,0.4123689316052198,0.375147066647947,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,108.0,108.0,0.0,25.0
Mantei,396874,Odisha,Kendrapara,Marsaghai,319.0,319.0,71.0,63.0,20.353168953318104,86.42959800970993,44.32878905180011,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.685448110599038,0.0,0.620718684068983,0.4123689316052198,0.4432878905180011,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,0.0,0.0,0.0,30.0
