village,vlcode,block,district,flood_hazard_category,flood_hazard_score,flood_occurrence_range,flood_data_source
Maha Kala Para,397088,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Samantsingharpur,396927,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Teragan,396926,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nantar,397082,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Aitipur,397044,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balia,396986,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Janra,397064,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Itakandia,396989,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bada Rahama,396990,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mangalapur,397086,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gamha,397087,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gopalpur,397090,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balana,396904,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Orata,397046,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Raigada,397065,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ostara,396934,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sarumunhi,397113,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chhatar,396988,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mahula Kandha,397099,Mahakalapada,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bachhuria,397109,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jemadeipur,397084,Mahakalapada,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kiar Banka,397063,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pareswar Pur,397083,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sahabaj Pur,397062,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Maliancha,397030,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Babakar Pur,397055,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ramakani,397060,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Barakandha,397106,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kochila,397115,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ghantia Palli,397040,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bandhapara,397101,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gokhapada,396925,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sankhapada,397038,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mulubasanta,396984,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bijayanagar,397034,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kalapara,397041,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Anduli,397042,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bilipada,397048,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sri Chandan Pur,397037,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Palaspur,396905,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tithi,397085,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Deula Pada,397058,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajagada,397054,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jagati,397066,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ranki,397032,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sikhar,397093,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dadhipur,397097,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Adoi,397110,Mahakalapada,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Karanja,396924,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dasi Pur,396902,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Adam Pur,396903,Marsaghai,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chandia Palli,397061,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Amirabad,397059,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badadihi,397026,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kanpur,397031,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dia Rajagarh,397056,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Oliha,397045,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Olihanilakanthapur,397057,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balipal,397039,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Arada,397033,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Benupal,396922,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Ekalapur,397027,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nachhi Pada,397049,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Basaghar,397043,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sahoo Pada,396985,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Batakuli,397096,Mahakalapada,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Potakani,397108,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Niyamatpur,397050,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dahimachha,396921,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rama Chandra Pur,396987,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jasuapalli,397036,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Potia,397035,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Alailo,397047,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baulapara,397095,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gobardhanpur,396923,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kumbharapara,397098,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Marichakani,397100,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baradia,395618,Rajkanika,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kusiapal,397069,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balisahipatna,395912,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baulakani,397112,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Petchhela,396058,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tanki Belari,397078,Mahakalapada,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Narasingha Pur,397015,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Maladhia,397081,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Babara,396992,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pancha Gachhia,397018,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kakat Pur,396993,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jamboo,396057,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sugal,397021,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhitarsubala,397079,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Maladhia,397004,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badatota Chhapali,397077,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bara Danga,397067,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kalatunga,396995,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Pankapal,397073,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baliganda Ratanpur,396997,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Radia,397028,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kharianta,397023,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhateni,397075,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badamatha,397080,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bagagahan,397074,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kansapal,397076,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kansara,397071,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badadandua,397072,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bala Bhadrapur,397068,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Guludia,397022,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sana Rahama,396991,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bahar Subala,397029,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhuinpada,397002,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badapal,397020,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sankachit,397003,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tarapada,397070,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kandara Patia,396056,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nalitapatia,395760,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kantilo,397019,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bada Baincha,397024,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kholanai,397025,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kiabaria,397111,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gogua,396996,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Panikhia,397000,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bandha Para,396994,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baligarh,397131,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Hariabanka,397129,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Suniti Bena Kandha,397017,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bana Pada,397016,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khamarsahi,395761,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gobardhanpur,396025,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Koilipur,396042,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rata Panga,397014,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhatapara,395943,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Maliabuda,395949,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jayapur,396024,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tarapada,395997,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badkota,396005,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Taradeipur,396040,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Doligan,396998,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Isani Palla,396032,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tetelenga,396027,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Balarampur,396009,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Praharajpur,396043,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Arakhadiha,396006,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mangalpur,395909,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Garjang,397001,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Odiasala,397012,Mahakalapada,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Basantpur,396037,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Inkiria,396038,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gankalu Para,396030,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Duttapur,396041,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kani,395950,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Madhyapara,395939,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bandhapara,395938,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajagarh,395948,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kusailo,395941,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badolara,395942,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nanjura,396999,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dhaneswarpur,396004,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baragudidanda,395946,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Nurugan,395944,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Barhapur,396039,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sanora,395999,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kanhua,395994,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Benudharpur,395951,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kiajori,395945,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bhopal,397005,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mundatala Sahara Kani,397013,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Santhapada,395933,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tangataila,395932,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badpalli,396033,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badmaricha Palli,396035,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Katakana,395931,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Barunipalla,396036,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sasana,397007,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tantiapal,396055,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bilakalupara,396029,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kankdia,396028,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Badpal,396034,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mangarajpur,396007,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Rajnagar,395998,Rajnagar,Kendrapara,VERY HIGH,1.0,10-14 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chakibanka,395936,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Guludia,395996,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baghua,395993,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Garjanpur,396001,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Firikidandi,395937,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sanabadagopalpur,396000,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Mahinsasur,395995,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jharpada,395908,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khandeipara,395940,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baghataila,395952,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Govindpur,395934,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dhandia,395947,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Kshirkot,396026,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Jagannathapur,396002,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Sukdevpur,396008,Rajnagar,Kendrapara,HIGH,0.8,7-9 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tamulia,397008,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Tamulia,396003,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Dakhinadandi,395935,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Singar Pur,397006,Mahakalapada,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Keradasahi,396031,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Padini,395911,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Chandrasekhar,395964,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Junapangara,395970,Rajnagar,Kendrapara,NO_DATA,0.0,NO_DATA,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Bindhanaukana,396044,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Gopalpur,395885,Rajnagar,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Baro,397010,Mahakalapada,Kendrapara,LOW,0.3,2-4 times,OSDMA/NRSC Flood Hazard Atlas 2001-2018
Khandiora,395981,Rajnagar,Kendrapara,VERY LOW,0.1,1 time,OSDMA/NRSC Flood Hazard Atlas 2001-2018
