village,vlcode,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution
Madhusudanpur,396981,0.5656232535057262,0.3,0.5988252810525345,0.4123689316052198,0.47686708263589545,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Taradeipur,396978,0.5522523665183603,0.0,0.5977940202625065,0.4123689316052198,0.3975980013421787,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Karanjia,396049,0.6596744421339533,0.0,0.5355802273513727,0.5378752947467564,0.43937244842738044,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bahargadabadadandua,397122,0.5737760018049094,0.0,0.6049258880339077,,0.40420534068743713,MODERATE,3,COASTAL + FLOOD + CYCLONE
Thantapalanda,396960,0.5497164360225428,0.8,0.590550884233912,0.4123689316052198,0.5950264381862848,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Srirampur,396982,0.5710137191134487,0.3,0.5986309050206753,0.4123689316052198,0.4784356283102474,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Nandanpur,396980,0.48763277282861683,0.0,0.5936917298763051,0.4123689316052198,0.3771865506387053,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Paunsiapal,396975,0.7051188865344198,0.0,0.6074620932378205,0.4123689316052198,0.445874975590825,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Raghunathpur,396972,0.6515513689144921,0.0,0.6061500510167026,0.4123689316052198,0.4294767097495672,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Saralikud,397136,0.671977722886469,0.1,0.6347423611939651,,0.48159863395553987,MODERATE,3,COASTAL + FLOOD + CYCLONE
Jogidhankud,397135,0.6429597304204824,0.1,0.6342860293700787,,0.47057428308583044,MODERATE,3,COASTAL + FLOOD + CYCLONE
Kansardia,397132,0.6258381976709877,0.1,0.5948223609088252,,0.45182131191062824,MODERATE,3,COASTAL + FLOOD + CYCLONE
Palli Garh,397123,0.5413909522618073,0.0,0.6056854011406503,,0.3922982949546309,MODERATE,3,COASTAL + FLOOD + CYCLONE
Batighar,396060,0.5457852265264131,0.1,0.6149147854667314,,0.42808033040575844,MODERATE,3,COASTAL + FLOOD + CYCLONE
Barakoli Khala,397137,0.47334477615154547,0.1,0.6183907169172341,,0.4020013900934652,MODERATE,3,COASTAL + FLOOD + CYCLONE
Banabiharipur,397126,0.6453150442281381,0.8,0.6174468425360258,,0.6849452798780598,HIGH,3,COASTAL + FLOOD + CYCLONE
Nipania,397134,0.5781433727662297,0.1,0.6237537524284469,,0.4429768124212258,MODERATE,3,COASTAL + FLOOD + CYCLONE
Baraja Bahakuda,397125,0.5371170577520531,0.1,0.6088394141406104,,0.42293121357596064,MODERATE,3,COASTAL + FLOOD + CYCLONE
Ramanagar,397128,0.4156008633138033,0.3,0.602607929150375,,0.4379153016021684,MODERATE,3,COASTAL + FLOOD + CYCLONE
Bahakuda Pitapat,397124,0.6727127131902526,0.0,0.6151235414673251,,0.4444933741548838,MODERATE,3,COASTAL + FLOOD + CYCLONE
Badatubi,397127,0.5821228409712236,0.1,0.6181700998314011,,0.44272422156152164,MODERATE,3,COASTAL + FLOOD + CYCLONE
Sanatubi,397133,0.38774431011886495,0.1,0.6113693668151543,,0.36770704342431004,MODERATE,3,COASTAL + FLOOD + CYCLONE
Kentia,397114,0.37453672024365015,0.8,0.593074457574937,0.5378752947467564,0.5682046894161806,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Hetamundia,397138,0.6056946597681683,0.3,0.6108077326973597,,0.5117629138809879,HIGH,3,COASTAL + FLOOD + CYCLONE
Kasoti,396910,0.40839830098438323,0.1,0.6076391464723623,0.4446950457593799,0.3883682860652815,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Badapaldia,396913,0.22956546514501786,0.1,0.5927922704441972,0.4446950457593799,0.33100671630643064,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Kharinasi,396059,0.48731480520206283,0.1,0.5954171390063865,0.5378752947467564,0.42762378526156675,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bhitara Kharinasi,397130,0.6026699448335704,0.0,0.5941831307600756,0.5378752947467564,0.43692182508944133,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bikeikani,396020,0.6887642052026632,0.0,0.5450368790125402,0.5378752947467564,0.4504635402632853,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Baulanga,396782,0.560828530239007,0.8,0.6245502833104366,0.4446950457593799,0.6133251390511874,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bandha Kata,396720,0.4977127479516655,0.3,0.6219089817151766,0.4446950457593799,0.46873007896616975,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Gobind Pur,397052,0.6686278923769575,0.1,0.5865929403078207,0.4446950457593799,0.4611756119419184,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Gohipur,396053,0.7147672216721594,0.0,0.5435816111901739,0.5378752947467564,0.4579006282485426,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Talasanga,396788,0.6115293701636868,0.1,0.6122080306406672,0.4446950457593799,0.4504498278611488,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Sanagan,396935,0.3252892163043165,0.3,0.5778001200222975,0.4446950457593799,0.4059758040487453,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Kuhudi,396536,0.6686742234360823,0.1,0.6068497905072068,0.4446950457593799,0.4662537238095023,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Jaudia,396018,0.7088566966725434,0.0,0.5486982843517991,0.5378752947467564,0.4574066390390641,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Badapal,396912,0.31567690539488236,0.1,0.5959670185547215,0.4446950457593799,0.35763383540902105,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Narasingpur,396790,0.6610607592130844,0.8,0.627930159563324,0.4446950457593799,0.6442397768066324,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Manitiri,396894,0.6230097897046776,0.1,0.6232451455173023,0.4446950457593799,0.4566532324426048,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Puruso Tamapur,396899,0.45276085682733247,0.1,0.6048048112210812,0.4446950457593799,0.400968469005346,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Baikuntha Pur,396721,0.5264073733709492,0.8,0.6305156894105625,0.4446950457593799,0.6044901435158014,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Badagan,396937,0.3390425642090256,0.3,0.589297414256366,0.4446950457593799,0.41297613197867516,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Tulasi Pur,396914,0.3208048007344778,0.1,0.5992802975028864,0.4446950457593799,0.3600005237479409,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bhagabanpur,396949,0.46546796662274054,0.0,0.6012583987812492,0.4446950457593799,0.3788939988340104,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Gayaspur,397053,0.5398564480442998,0.3,0.5866549784606823,0.4446950457593799,0.47255968818033645,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Posta,396540,0.5554866722395115,0.1,0.6011171739288746,0.4446950457593799,0.4308643043059481,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Juna,396909,0.42499260459790567,0.1,0.6053742290087104,0.4446950457593799,0.39278034778342524,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Narayanpur,396519,0.691942386997819,1.0,0.6124247615467502,0.4446950457593799,0.6996279156379093,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Jaripada,396542,0.6189801854097337,0.1,0.6017668562348681,0.4446950457593799,0.4500747788335131,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Hatia,396896,0.6729749490599706,0.3,0.616475012557351,0.4446950457593799,0.5199502470092049,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
