village,vlcode,significant_cyclone_events,cyclones_within_50km,cyclones_within_100km,cyclones_within_200km,nearest_cyclone_distance_km,maximum_nearby_wind_kt,strongest_cyclone_event,strongest_cyclone_name,maximum_event_score,frequency_score,cyclone_hazard_score,cyclone_hazard_category
Mantei,396874,23,1,9,23,46.83095818620782,140.0,1999_7,,0.4581695486699758,1.0,0.620718684068983,VERY HIGH
Antei,396873,23,1,9,23,46.530186783249306,140.0,1999_7,,0.46047205321017237,1.0,0.6223304372471206,VERY HIGH
Beruhan,396942,23,1,10,23,49.75230342092572,140.0,1999_7,,0.43365283895319356,1.0,0.6035569872672355,VERY HIGH
Khamagan,396882,23,1,10,23,48.46246967843194,140.0,1999_7,,0.4458789269852072,1.0,0.6121152488896451,VERY HIGH
Naladiapalanda,396956,23,0,10,23,50.148013247059914,140.0,1999_7,,0.4228635474207557,1.0,0.596004483194529,VERY HIGH
Badaghai,396955,23,1,10,23,49.58092643044751,140.0,1999_7,,0.4189991832991226,1.0,0.5932994283093858,HIGH
Batira,396887,23,1,9,23,48.885350374774156,140.0,1999_7,,0.44274741556051195,1.0,0.6099231908923584,VERY HIGH
Nuagan,396945,23,0,10,23,51.37463076665002,140.0,1999_7,,0.4244510519771288,1.0,0.5971157363839901,VERY HIGH
Dhaniapada,396944,23,0,10,23,50.577628212694066,140.0,1999_7,,0.4304343472572929,1.0,0.601304043080105,VERY HIGH
Madhusudanpur,396891,23,0,10,23,50.028820613779985,140.0,1999_7,,0.43438950218451283,1.0,0.604072651529159,VERY HIGH
Sereinpur,396951,23,1,10,23,48.69963486038187,140.0,1999_7,,0.41722560823434396,1.0,0.5920579257640408,HIGH
Ramachandrapur,396884,23,1,9,23,47.88420948731856,140.0,1999_7,,0.4501969352232976,1.0,0.6151378546563083,VERY HIGH
Baripal,396886,23,1,9,23,48.02048762227443,140.0,1999_7,,0.4491755622741406,1.0,0.6144228935918984,VERY HIGH
Balighai,396885,23,1,9,23,47.347330285839135,140.0,1999_7,,0.4542433681234234,1.0,0.6179703576863964,VERY HIGH
Mangarajpur,396890,23,1,10,23,49.491144612765176,140.0,1999_7,,0.4382996762474668,1.0,0.6068097733732267,VERY HIGH
Ameipal,396952,23,1,10,23,49.28567717859052,140.0,1999_7,,0.411465031101775,1.0,0.5880255217712425,HIGH
Tikhiri,396946,23,0,10,23,50.21482511381408,140.0,1999_7,,0.4165516662598576,1.0,0.5915861663819003,HIGH
Balisuan,396947,23,1,10,23,49.63333187342959,140.0,1999_7,,0.4261371881494603,1.0,0.5982960317046222,VERY HIGH
Mahanangala,396957,21,1,10,21,47.55848175523026,140.0,1999_7,,0.4146844469477555,1.0,0.5902791128634288,HIGH
Alifa,396943,23,1,10,23,49.216533047265,140.0,1999_7,,0.44031030993571385,1.0,0.6082172169549996,VERY HIGH
Kalagarh,396959,21,1,10,21,46.190366671577486,140.0,1999_7,,0.410585135873964,1.0,0.5874095951117748,HIGH
Potari,396889,23,1,10,23,49.47355369509086,140.0,1999_7,,0.43842819664516985,1.0,0.6068997376516189,VERY HIGH
Bauda,396950,23,1,10,23,47.524314209014854,140.0,1999_7,,0.4164340086549319,1.0,0.5915038060584523,HIGH
Ramachandrapur,396974,22,2,12,22,45.52846738871954,140.0,1999_7,,0.43767317493562025,1.0,0.6063712224549341,VERY HIGH
Jadupur,396933,21,1,11,21,44.031611370317826,140.0,1999_7,,0.4028165442576785,1.0,0.5819715809803749,HIGH
Tekarapanga,396969,21,1,12,21,44.764399873897254,140.0,1999_7,,0.4255946351328592,1.0,0.5979162445930014,VERY HIGH
Gokha Khati,397104,22,1,12,22,41.28010240267611,140.0,1999_7,,0.4188975984296906,1.0,0.5932283189007834,HIGH
Naladiasasan,396967,21,1,11,21,44.92874207695532,140.0,1999_7,,0.41382168669605934,1.0,0.5896751806872416,HIGH
Rajendra Nagar,397117,21,1,15,21,40.82300611013997,140.0,1999_7,,0.4313298160812207,1.0,0.6019308712568545,VERY HIGH
Masakani,396932,21,1,11,21,44.34504561668198,140.0,1999_7,,0.40820171379193854,1.0,0.5857411996543569,HIGH
Raula,396929,21,1,12,21,42.20627217100476,140.0,1999_7,,0.41438849625118424,1.0,0.5900719473758289,HIGH
Tentuli Kandha,397118,21,1,14,21,40.65147296107038,140.0,1999_7,,0.42580113853594964,1.0,0.5980607969751648,VERY HIGH
Chhanda,396976,22,2,12,22,44.58909162617947,140.0,1999_7,,0.4364789822075966,1.0,0.6055352875453176,VERY HIGH
Dekani,396964,21,1,11,21,47.05890887489616,140.0,1999_7,,0.43123804006155675,1.0,0.6018666280430898,VERY HIGH
Patalipanka,396970,21,2,11,21,47.72037923883001,140.0,1999_7,,0.4370249955300859,1.0,0.6059174968710601,VERY HIGH
Kodakan,396973,22,2,12,22,46.28683612368148,140.0,1999_7,,0.4390452614774105,1.0,0.6073316830341873,VERY HIGH
Chheda Kani,397107,21,1,14,21,40.01926168686422,140.0,1999_7,,0.4200729996327559,1.0,0.5940510997429291,HIGH
Khurusiapat,396963,21,1,10,21,47.90843483413398,140.0,1999_7,,0.4325293438251008,1.0,0.6027705406775705,VERY HIGH
Koratapanga,396965,21,1,11,21,46.30579949866807,140.0,1999_7,,0.4271939390305254,1.0,0.5990357573213677,VERY HIGH
Akhadasali,397121,21,2,15,21,42.503429935399936,140.0,1999_7,,0.4442790862517982,1.0,0.6109953603762587,VERY HIGH
Naladia,396971,22,2,11,22,46.972104521895915,140.0,1999_7,,0.44151695740590413,1.0,0.6090618701841328,VERY HIGH
Dasarajapur,397120,22,2,14,22,43.02307433795756,140.0,1999_7,,0.4404903948677961,1.0,0.6083432764074572,VERY HIGH
Bandhakud,396961,21,1,10,21,47.03431144224643,140.0,1999_7,,0.42234857709223467,1.0,0.5956440039645643,HIGH
Gatanai Nuasahi,396966,21,1,11,21,45.79431225098995,140.0,1999_7,,0.41844172011445235,1.0,0.5929092040801166,HIGH
Purusottampur,396979,21,1,12,21,43.89225237445011,140.0,1999_7,,0.42847069695660167,1.0,0.5999294878696211,VERY HIGH
Nuagan,396931,21,1,12,21,43.214812220161676,140.0,1999_7,,0.4098565536065085,1.0,0.586899587524556,HIGH
Gararomita,396983,22,1,12,22,43.22847961746051,140.0,1999_7,,0.4341389969405736,1.0,0.6038972978584015,VERY HIGH
Narayanpur,396968,21,1,11,21,44.70784330534961,140.0,1999_7,,0.41948873745255894,1.0,0.5936421162167913,HIGH
Harishpur,396048,20,2,14,20,19.132270501318786,140.0,1984_4,,0.3375214119943844,1.0,0.5362649883960691,LOW
Subala,396928,21,1,12,21,41.74490100438797,140.0,1999_7,,0.417257824776199,1.0,0.5920804773433392,HIGH
Sathiabati,397103,21,1,14,21,41.154441840456144,140.0,1999_7,,0.4229099311130957,1.0,0.596036951779167,VERY HIGH
Nalitajori Pal,397119,22,2,14,22,42.116453515324665,140.0,1999_7,,0.43584057074020827,1.0,0.6050883995181457,VERY HIGH
Nunimatia Kandha,397105,21,1,12,21,40.5466633664253,140.0,1999_7,,0.41720894983621576,1.0,0.5920462648853511,HIGH
Anantapur,396977,21,1,12,21,44.66532899421331,140.0,1999_7,,0.43185217303069146,1.0,0.6022965211214839,VERY HIGH
Guptagiri,397116,21,2,15,21,39.46371229858892,140.0,1999_7,,0.4230109410710973,1.0,0.5961076587497681,VERY HIGH
Belar,396930,21,1,12,21,42.24472960998985,140.0,1999_7,,0.40909401380345406,1.0,0.5863658096624178,HIGH
Madhusudanpur,396981,22,1,12,22,43.30522180191081,140.0,1999_7,,0.426893258646478,1.0,0.5988252810525345,VERY HIGH
Taradeipur,396978,21,1,12,21,44.27518096398381,140.0,1999_7,,0.4254200289464378,1.0,0.5977940202625065,VERY HIGH
Karanjia,396049,21,2,14,21,19.306419523727502,140.0,1984_4,,0.33654318193053245,1.0,0.5355802273513727,LOW
Bahargadabadadandua,397122,21,2,15,21,41.48083985633535,140.0,1999_7,,0.43560841147701107,1.0,0.6049258880339077,VERY HIGH
Thantapalanda,396960,21,1,10,21,46.26538515231048,140.0,1999_7,,0.41507269176273154,1.0,0.590550884233912,HIGH
Srirampur,396982,22,1,12,22,42.455485526356114,140.0,1999_7,,0.4266155786009648,1.0,0.5986309050206753,VERY HIGH
Nandanpur,396980,21,1,12,21,42.9440787611249,140.0,1999_7,,0.4195596141090075,1.0,0.5936917298763051,HIGH
Paunsiapal,396975,22,2,12,22,45.40945261942909,140.0,1999_7,,0.43923156176831507,1.0,0.6074620932378205,VERY HIGH
Raghunathpur,396972,21,2,11,21,46.93000076359395,140.0,1999_7,,0.4373572157381467,1.0,0.6061500510167026,VERY HIGH
Saralikud,397136,21,6,15,21,43.612919024760586,140.0,1999_7,,0.4782033731342359,1.0,0.6347423611939651,VERY HIGH
Jogidhankud,397135,21,6,15,21,44.03621665388694,140.0,1999_7,,0.477551470528684,1.0,0.6342860293700787,VERY HIGH
Kansardia,397132,21,5,15,21,35.7418557896764,140.0,1999_7,,0.4211748012983217,1.0,0.5948223609088252,HIGH
