slide_no,district,latitude,longitude,location,movement_type,history,source_page,source_text
KRL/WAY/58A02/2015/90,Wayanad,11.524853,76.169294,,debris slide,,321,KRL/WAY/58A02/2015/90 Kerala Wayanad Vallateri village road NULL 11.524853 76.169294 Debris Slide NA 13673
KRL/WAY/58A02/2015/92,Wayanad,11.531108,76.187719,,debris slide,,321,KRL/WAY/58A02/2015/92 Kerala Wayanad Rippon tea estate Pichen-Noufal Road 11.531108 76.187719 Debris Slide 2012
KRL/KOZ/54M14/2015/168,Wayanad,11.551778,75.916111,,"rock cum debris slide, debris slide",,322,KRL/KOZ/54M14/2015/168 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.551778 75.916111 Rock cum Debris Slide 1984 13719
KRL/KOZ/54M14/2015/171,Wayanad,11.539444,75.903056,,debris flow,,322,KRL/KOZ/54M14/2015/171 Kerala Kozhikode Kuttali rubber plantation Kakkayam Road 11.539444 75.903056 Debris Flow 1996 13694
KRL/KOZ/54M14/2015/172,Wayanad,11.539167,75.905278,,"rock cum debris slide, debris slide",,322,KRL/KOZ/54M14/2015/172 Kerala Kozhikode Kuttali rubber plantation Kakkayam Road 11.539167 75.905278 Rock cum Debris Slide 2014 13693
KRL/KOZ/54M14/2015/173,Wayanad,11.539444,75.913056,,debris flow,,322,KRL/KOZ/54M14/2015/173 Kerala Kozhikode Kakkayam Kakkayam Road 11.539444 75.913056 Debris Flow NA 13695
KRL/KOZ/54M14/2015/188,Wayanad,11.552222,75.904722,,"rock cum debris slide, debris slide",,322,KRL/KOZ/54M14/2015/188 Kerala Kozhikode Kakkayam Kakkayam Road 11.552222 75.904722 Rock cum Debris Slide NA 13720
KRL/KOZ/54M14/2015/190,Wayanad,11.548611,75.926944,,"rock cum debris slide, debris slide",,322,KRL/KOZ/54M14/2015/190 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.548611 75.926944 Rock cum Debris Slide NA 13715
KRL/KOZ/54M14/2015/191,Wayanad,11.548056,75.926944,,"rock cum debris slide, debris slide",,322,KRL/KOZ/54M14/2015/191 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.548056 75.926944 Rock cum Debris Slide 2014 13712
KRL/KOZ/54M14/2015/192,Wayanad,11.548333,75.926667,,debris slide,,322,KRL/KOZ/54M14/2015/192 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.548333 75.926667 Debris Slide 2007 13714
KRL/KOZ/54M14/2015/193,Wayanad,11.548056,75.927222,,debris flow,,322,KRL/KOZ/54M14/2015/193 Kerala Kozhikode Kakkayam hairpin Kakkayam Road 11.548056 75.927222 Debris Flow 2007 13713
KRL/KOZ/54M14/2015/194,Wayanad,11.544722,75.936667,,"rock cum debris slide, debris slide",,322,KRL/KOZ/54M14/2015/194 Kerala Kozhikode Sankaran puzha Kakkayam Road 11.544722 75.936667 Rock cum Debris Slide NA 13709
KRL/KOZ/54M14/2015/205,Wayanad,11.55,75.919167,,debris slide,,322,KRL/KOZ/54M14/2015/205 Kerala Kozhikode Kakkayam Kakkayam Road 11.55 75.919167 Debris Slide NA 13717
KRL/KOZ/54M14/2015/206,Wayanad,11.544167,75.939722,,debris slide,,322,KRL/KOZ/54M14/2015/206 Kerala Kozhikode Attikod estate Kakkayam Road 11.544167 75.939722 Debris Slide NA 13707
KRL/KOZ/54M14/2015/212,Wayanad,11.533056,75.896667,,debris flow,,322,KRL/KOZ/54M14/2015/212 Kerala Wayanad Kuttali rubber plantation Kakkayam Road 11.533056 75.896667 Debris Flow 1984 13686
KRL/KOZ/54M14/2015/213,Wayanad,11.549444,75.896111,,,,322,KRL/KOZ/54M14/2015/213 Kerala Kozhikode Kakkayam Kakkayam Road 11.549444 75.896111 Debris Fall NA 13716
KRL/WAY/58A02/2015/100,Wayanad,11.543214,76.154,,debris slide,,322,KRL/WAY/58A02/2015/100 Kerala Wayanad Arepetta Tea Estate-2 Kozhokode - Vythiri-Gudallur Highway 11.543214 76.154 Debris Slide 2008 13704
